time,energy,error
0.050000012,999.8726,4.5776367E-5
0.10000011,999.3775,7.581711E-5
0.14999984,998.3018,1.2409687E-4
0.1999992,996.2855,1.335144E-4
0.24999855,992.91565,1.796484E-4
0.29999793,988.17316,1.7881393E-4
0.34999728,981.9236,1.6832352E-4
0.39999664,974.2762,1.6057491E-4
0.449996,965.1667,1.6522408E-4
0.49999535,953.8232,1.5640259E-4
0.5499977,940.4637,1.5842915E-4
0.6,924.8506,1.604557E-4
0.65000236,908.5507,1.269579E-4
0.7000047,892.50275,1.1205673E-4
0.75000703,876.8902,1.16705894E-4
0.80000937,858.5571,1.1610985E-4
0.8500117,841.7257,1.1730194E-4
0.90001404,831.10425,9.036064E-5
0.9500164,824.3476,8.702278E-5
1.0000187,823.4421,6.532669E-5
1.0500151,820.95135,7.033348E-5
1.1000115,818.39496,6.6161156E-5
1.1500078,810.06165,7.343292E-5
1.2000042,803.6056,9.703636E-5
1.2500006,810.71765,7.2956085E-5
1.299997,818.7604,4.529953E-5
1.3499933,826.2436,6.979704E-5
1.3999897,834.10645,8.3863735E-5
1.4499861,842.09216,5.6385994E-5
1.4999825,847.39386,8.350611E-5
1.5499789,864.17413,1.3238192E-4
1.5999752,870.9202,7.379055E-5
1.6499716,871.5344,6.711483E-5
1.699968,866.82306,1.14023685E-4
1.7499644,860.98566,1.2135506E-4
1.7999607,856.0297,9.262562E-5
1.8499571,849.0129,9.6440315E-5
1.8999535,843.918,1.462698E-4
1.9499499,838.3141,1.10030174E-4
1.9999462,832.89856,1.4740229E-4
2.0499427,826.7016,1.21593475E-4
2.099939,825.792,9.5009804E-5
2.1499355,826.1933,1.4996529E-4
2.1999319,824.6943,1.1873245E-4
2.2499282,823.20667,1.1527538E-4
2.2999246,822.87714,1.0871887E-4
2.349921,822.639,1.6915798E-4
2.3999174,823.66833,9.405613E-5
2.4499137,827.058,9.429455E-5
2.49991,829.12695,1.732111E-4
2.5499065,831.6626,1.2856722E-4
2.5999029,835.80164,8.4757805E-5
2.6498992,839.6615,8.356571E-5
2.6998956,843.05554,1.5950203E-4
2.749892,845.6766,1.2207031E-4
2.7998884,847.45575,6.556511E-5
2.8498847,854.9545,7.092953E-5
2.8998811,861.3258,1.6975403E-4
2.9498775,863.25256,7.6532364E-5
2.9998739,853.41486,7.224083E-5
3.0498703,839.98364,1.2886524E-4
3.0998666,824.3341,7.009506E-5
3.149863,813.5676,4.9471855E-5
3.1998594,803.3369,7.814169E-5
3.2498558,797.31006,1.2373924E-4
3.2998521,788.8914,5.38826E-5
3.3498485,781.24664,3.683567E-5
3.399845,772.35913,3.3557415E-5
3.4498413,763.60834,4.6610832E-5
3.4998376,754.3562,6.186962E-5
3.549834,749.307,6.759167E-5
3.5998304,740.21277,3.5464764E-5
3.6498268,730.751,2.4199486E-5
3.6998231,725.2133,1.9311905E-5
3.7498195,719.3145,3.0636787E-5
3.799816,714.166,3.349781E-5
3.8498123,711.2087,2.1576881E-5
3.8998086,711.20386,1.347065E-5
3.949805,711.456,1.347065E-5
3.9998014,712.79675,1.5854836E-5
4.0498214,714.0608,1.7046928E-5
4.0998416,714.0905,1.3589859E-5
4.149862,713.91315,1.4305115E-5
4.199882,713.2356,1.3828278E-5
4.2499022,712.7232,1.2636185E-5
4.2999225,712.554,1.21593475E-5
4.3499427,712.216,1.2040138E-5
4.399963,711.768,1.2397766E-5
4.449983,711.2869,1.513958E-5
4.5000033,710.1193,1.7940998E-5
4.5500236,709.05835,2.3722649E-5
4.600044,707.71716,1.9788742E-5
4.650064,706.364,1.8775463E-5
4.700084,715.05255,2.7537346E-5
4.7501044,718.6024,3.1650066E-5
4.8001246,721.6959,3.20673E-5
4.850145,727.20325,3.8683414E-5
4.900165,732.95575,4.2915344E-5
4.9501853,740.0541,2.3782253E-5
5.0002055,749.9209,3.4868717E-5
5.0502257,757.1609,5.108118E-5
5.100246,764.24207,2.0384789E-5
5.150266,773.4508,2.0623207E-5
5.2002864,780.832,3.540516E-5
5.2503066,786.61865,6.2704086E-5
5.300327,791.6722,3.9219856E-5
5.350347,799.3734,6.4611435E-5
5.4003673,804.22516,4.8577785E-5
5.4503875,811.03516,3.08156E-5
5.5004077,819.3032,4.673004E-5
5.550428,827.42725,5.4121017E-5
5.600448,840.0293,4.3153763E-5
5.6504683,863.0864,7.593632E-5
5.7004886,871.762,1.3422966E-4
5.750509,868.76556,5.555153E-5
5.800529,858.0393,3.6537647E-5
5.850549,849.4539,5.5909157E-5
5.9005694,834.336,2.168417E-4
5.9505897,823.863,6.330013E-5
6.00061,811.812,1.1008978E-4
6.05063,807.6073,9.196997E-5
6.1006503,799.0404,3.349781E-4
6.1506705,777.84656,1.8405914E-4
6.2006907,774.63696,6.198883E-5
6.250711,775.58325,4.518032E-5
6.300731,775.97076,8.7976456E-5
6.3507514,774.4698,1.5318394E-4
6.4007716,776.4273,4.8816204E-5
6.450792,777.1557,5.2928925E-5
6.500812,778.0297,7.903576E-5
6.5508323,779.2444,8.535385E-5
6.6008525,784.961,1.06692314E-4
6.6508727,787.7633,6.443262E-5
6.700893,794.48785,7.2836876E-5
6.750913,808.2989,8.940697E-5
6.8009334,825.1471,6.914139E-5
6.8509536,825.5709,5.8293343E-5
6.900974,833.1056,4.4703484E-5
6.950994,840.4956,4.7445297E-5
7.001014,839.8301,6.711483E-5
