time,energy,error
0.05,997.62506,3.119707E-4
0.1,995.2466,0.0027618408
0.15,992.82745,0.010517836
0.2,990.24396,0.026314855
0.25,987.3332,0.050051093
0.3,984.03314,0.07899809
0.35000002,980.35095,0.110310555
0.40000004,976.2634,0.14215231
0.45000005,971.75336,0.17324436
0.50000006,966.85956,0.20257354
0.5500001,961.66187,0.2295425
0.6000001,956.24005,0.25401998
0.6500001,950.65393,0.27623332
0.7000001,944.9312,0.29661977
0.7500001,939.0613,0.31575406
0.80000013,933.00415,0.3342476
0.85000014,926.6968,0.35270107
0.90000015,920.0651,0.3716613
0.95000017,913.0242,0.3915981
1.0000001,905.4863,0.41288042
1.0500001,897.3645,0.43577206
1.1,888.5733,0.46043694
1.15,879.02673,0.48695827
1.1999999,868.6427,0.5153601
1.2499999,857.3409,0.54564023
1.2999998,845.0372,0.5777941
1.3499998,831.6368,0.61184645
1.3999997,817.0355,0.64784884
1.4499997,801.1095,0.6859025
1.4999996,783.70825,0.72615767
1.5499996,764.651,0.7688298
1.5999995,743.713,0.81419003
1.6499995,720.62317,0.8625801
1.6999995,695.0408,0.91443175
1.7499994,666.5428,0.9702742
1.7999994,634.5871,1.0307491
1.8499993,598.4729,1.0966089
1.8999993,557.29443,1.1686122
1.9499992,510.01593,1.2469672
1.9999992,456.3275,1.329439
2.0499992,398.9148,1.4086928
2.0999992,343.91187,1.4738615
2.1499991,297.29016,1.5161189
2.199999,262.5558,1.5312331
2.249999,241.32959,1.5183883
2.299999,234.02942,1.4785261
2.349999,239.73914,1.4135535
2.399999,256.01245,1.3264067
2.4499989,279.24353,1.2214007
2.4999988,305.46692,1.1044271
2.5499988,331.15454,0.9826801
2.5999987,353.73456,0.86393243
2.6499987,371.7685,0.75564575
2.6999986,384.8144,0.6641137
2.7499986,393.10107,0.5938596
2.7999985,397.15045,0.54732364
2.8499985,397.48456,0.5248275
2.8999984,394.48688,0.52471614
2.9499984,388.43,0.54365814
2.9999983,379.6069,0.5770465
3.0499983,368.4968,0.6194431
3.0999982,355.86926,0.66507745
3.1499982,342.78577,0.7083293
3.1999981,330.48993,0.74416447
3.249998,320.2151,0.76847404
3.299998,312.97113,0.7782991
3.349998,309.37292,0.77190894
3.399998,309.54047,0.74878824
