time,energy,error
0.05,997.625,3.1232834E-4
0.1,995.2492,0.0028027296
0.15,992.8621,0.011089563
0.2,990.41595,0.02998209
0.25,987.78845,0.06396639
0.3,984.7936,0.11501181
0.35000002,981.2872,0.18169057
0.40000004,977.2427,0.26119912
0.45000005,972.66364,0.35223532
0.50000006,967.45776,0.45559013
0.5500001,961.452,0.57278955
0.6000001,954.4597,0.7048471
0.6500001,946.319,0.85193217
0.7000001,936.88916,1.0136963
0.7500001,926.0204,1.18968
0.80000013,913.55225,1.3792877
0.85000014,899.33105,1.5816218
0.90000015,883.219,1.7955532
0.95000017,865.08606,2.019829
1.0000001,844.81586,2.2530808
1.0500001,822.3126,2.4938593
1.1,797.5055,2.7406807
1.15,770.3491,2.9920826
1.1999999,740.8242,3.2466817
1.2499999,708.93384,3.503241
1.2999998,674.69995,3.7607415
1.3499998,638.1525,4.0184555
1.3999997,599.3224,4.276011
1.4499997,558.2294,4.5334334
1.4999996,514.8758,4.7911587
1.5499996,469.2339,5.0500135
1.5999995,421.2517,5.3111534
1.6499995,370.8474,5.5759764
1.6999995,317.9104,5.8460193
1.7499994,262.3059,6.122833
1.7999994,203.87512,6.4078474
1.8499993,142.43933,6.702286
1.8999993,77.80664,7.007058
1.9499992,9.7734375,7.3227167
1.9999992,-61.86621,7.6494946
2.0499992,-137.32007,7.9873877
2.0999992,-216.7981,8.336324
2.1499991,-300.52234,8.69635
2.199999,-388.74292,9.0678
2.249999,-481.75635,9.45128
2.299999,-579.9042,9.847379
2.349999,-683.4872,10.255509
2.399999,-792.396,10.671332
2.4499989,-905.29443,11.083642
2.4999988,-1019.0055,11.474707
2.5499988,-1129.2041,11.82567
2.5999987,-1232.0127,12.122444
2.6499987,-1325.0051,12.357861
2.6999986,-1407.1875,12.530761
2.7499986,-1478.4913,12.644101
2.7999985,-1539.2509,12.703151
2.8499985,-1589.8492,12.714159
2.8999984,-1630.5315,12.683517
2.9499984,-1661.3379,12.617225
2.9999983,-1682.0962,12.520583
3.0499983,-1692.4463,12.398118
3.0999982,-1691.8799,12.25357
3.1499982,-1679.7837,12.089872
3.1999981,-1655.4694,11.909298
3.249998,-1618.202,11.713459
3.299998,-1567.2078,11.50344
3.349998,-1501.7349,11.27986
3.399998,-1421.4802,11.042978
3.449998,-1327.6473,10.792811
3.4999979,-1223.7678,10.529302
3.5499978,-1115.0278,10.2524605
3.5999978,-1006.55505,9.9624605
3.6499977,-902.05493,9.659655
3.6999977,-803.44617,9.344483
3.7499976,-711.2002,9.017327
3.7999976,-624.92834,8.678402
3.8499975,-543.90576,8.327682
3.8999975,-467.42224,7.964961
3.9499974,-394.9624,7.590004
3.9999974,-326.26196,7.202772
4.0499973,-261.28162,6.803671
4.0999975,-200.13428,6.3937726
4.1499977,-142.99896,5.9749646
4.199998,-90.04065,5.550005
4.249998,-41.345886,5.122471
4.2999983,3.1118774,4.6966114
4.3499985,43.47986,4.277149
4.3999987,79.999084,3.8690085
4.449999,112.96033,3.4770365
4.499999,142.6413,3.1057165
4.549999,169.25507,2.7589264
4.5999994,192.90726,2.4397173
4.6499996,213.59045,2.1501708
4.7,231.20471,1.8913345
4.75,245.61496,1.6632512
4.8,256.726,1.4650952
4.8500004,264.55844,1.2954099
4.9000006,269.31018,1.1524512
4.950001,271.37805,1.0345957
5.000001,271.33185,0.9407551
5.050001,269.83804,0.87070453
5.1000013,267.5384,0.8251277
5.1500015,264.9071,0.80521715
5.2000017,262.13153,0.81170756
5.250002,259.08698,0.843694
5.300002,255.44937,0.8979567
5.3500023,250.89932,0.9692764
5.4000025,245.2987,1.0514514
5.4500027,238.76004,1.1383809
5.500003,231.60269,1.224939
5.550003,224.22981,1.3076459
5.6000032,216.98672,1.384998
5.6500034,210.07126,1.4573101
5.7000036,203.51614,1.5262337
5.750004,197.21956,1.5941503
5.800004,190.99477,1.6636031
5.850004,184.62225,1.7367836
5.9000044,177.89073,1.8152146
5.9500046,170.62103,1.899587
6.000005,162.68033,1.9897575
6.050005,153.98816,2.0849018
6.100005,144.51273,2.1837623
6.1500053,134.25964,2.2849247
6.2000055,123.25487,2.3870668
6.2500057,111.528076,2.489151
6.300006,99.10394,2.5904825
6.350006,85.99942,2.690707
6.4000063,72.22922,2.789705
6.4500065,57.810303,2.8874888
6.5000067,42.76602,2.9841077
6.550007,27.122437,3.0795937
6.600007,10.905029,3.1740012
6.6500072,-5.8685913,3.267486
6.7000074,-23.192444,3.3604617
6.7500076,-41.076477,3.4538074
6.800008,-59.552612,3.5490186
6.850008,-78.67999,3.64821
6.900008,-98.55206,3.75386
6.9500084,-119.29663,3.8683348
7.0000086,-141.07196,3.9933157
7.050009,-164.05591,4.1294417
7.100009,-188.43481,4.276299
7.150009,-214.396,4.4329233
7.2000093,-242.14392,4.598589
7.2500095,-271.9353,4.7735248
7.3000097,-304.1314,4.959409
7.35001,-339.23572,5.1587467
7.40001,-377.906,5.373781
7.4500103,-420.95435,5.608274
7.5000105,-469.40503,5.86345
7.5500107,-524.20276,6.1395264
7.600011,-586.3628,6.448313
7.650011,-658.0847,6.781792
7.7000113,-739.3855,7.143143
7.7500114,-830.708,7.5579953
7.8000116,-934.89905,7.9883733
7.850012,-1046.57,8.371221
7.900012,-1156.8223,8.7998905
7.950012,-1270.4928,9.24277
8.000012,-1373.9736,9.6224
8.050013,-1459.7598,9.907402
8.100013,-1533.869,10.112722
8.150013,-1601.2683,10.259183
8.200013,-1664.3247,10.362699
8.250013,-1723.859,10.434234
8.300014,-1779.823,10.481152
8.350014,-1831.8834,10.508264
8.400014,-1879.4438,10.518688
8.450014,-1921.7196,10.514369
8.500014,-1957.07,10.4964485
8.5500145,-1984.7161,10.465495
8.600015,-2003.251,10.421673
8.650015,-2012.1143,10.364767
8.700015,-2006.02,10.294259
8.750015,-1987.3562,10.209386
8.800015,-1952.9445,10.109132
8.850016,-1905.0029,9.992243
8.900016,-1842.1888,9.857281
8.950016,-1766.3417,9.702672
9.000016,-1686.3259,9.526767
9.050016,-1608.245,9.327966
9.100017,-1533.4489,9.104771
9.150017,-1461.0442,8.855878
9.200017,-1389.7888,8.580251
9.250017,-1318.8287,8.277276
9.300017,-1247.8503,7.9468594
9.350018,-1177.0286,7.589507
9.400018,-1106.9192,7.2064075
9.450018,-1038.3313,6.7994666
9.500018,-972.205,6.3713446
9.550018,-909.4836,5.9254913
9.6000185,-851.00323,5.466133
9.650019,-797.40173,4.9981947
9.700019,-749.05615,4.5271487
9.750019,-706.058,4.0587735
9.800019,-668.2305,3.5988681
9.850019,-635.18677,3.152955
9.90002,-606.4154,2.7260053
9.95002,-581.3803,2.322238
10.00002,-559.61176,2.001145
10.05002,-540.7688,1.7566295
10.10002,-524.66187,1.5316617
10.150021,-511.23596,1.3096209
10.200021,-500.5159,1.087317
10.250021,-492.53528,0.86869407
10.300021,-487.26062,0.65618575
10.350021,-484.53082,0.46366626
10.400022,-484.02448,0.31364524
10.450022,-485.26178,0.23094761
10.500022,-487.6462,0.21708107
10.550022,-490.54504,0.25568265
10.600022,-493.40695,0.30100155
10.6500225,-495.90662,0.301674
10.700023,-498.0747,0.25332415
10.750023,-500.31076,0.20160377
10.800023,-503.2075,0.16217709
10.850023,-507.3013,0.20639688
10.900023,-512.95105,0.37392563
10.950024,-520.34546,0.55601054
11.000024,-529.53296,0.7495227
11.050024,-540.46826,0.95233107
11.100024,-553.1038,1.1634015
11.150024,-567.447,1.3822248
11.200025,-583.50415,1.6077445
11.250025,-601.18933,1.8377922
11.300025,-620.2926,2.0694566
11.350025,-640.5214,2.3000088
11.400025,-661.6001,2.527909
11.450026,-683.3821,2.7533743
11.500026,-705.93536,2.978317
11.550026,-729.56555,3.2057617
11.600026,-754.77124,3.4389982
11.650026,-782.1365,3.6807454
11.7000265,-812.19824,3.9325037
11.750027,-845.3258,4.194221
11.800027,-881.6499,4.4642797
11.850027,-921.05493,4.7397785
11.900027,-963.22296,5.0170007
11.950027,-1007.708,5.292009
12.000028,-1054.0125,5.561205
12.050028,-1101.6487,5.8218126
12.100028,-1150.1724,6.07219
12.150028,-1199.1934,6.311917
12.200028,-1248.3678,6.5417004
12.250029,-1297.3838,6.7630377
12.300029,-1345.95,6.977765
12.350029,-1393.7871,7.187478
12.400029,-1440.6206,7.3929667
12.450029,-1486.1731,7.5939445
12.50003,-1530.1577,7.7893066
12.55003,-1572.2974,7.9780464
12.60003,-1612.373,8.160223
12.65003,-1650.3032,8.337212
12.70003,-1686.2178,8.511204
12.7500305,-1720.5249,8.684641
12.800031,-1753.8733,8.85892
12.850031,-1786.5416,9.029951
12.900031,-1817.2792,9.1838
12.950031,-1843.2913,9.300876
13.000031,-1862.0638,9.365938
13.050032,-1872.6084,9.37274
13.100032,-1875.1833,9.3228035
13.150032,-1870.5942,9.222568
13.200032,-1859.7201,9.080856
13.250032,-1843.3229,8.906965
13.300033,-1822.037,8.709441
13.350033,-1796.4135,8.495473
13.400033,-1766.963,8.270766
13.450033,-1734.1587,8.039683
13.500033,-1698.4126,7.8055058
13.550034,-1660.051,7.570679
13.600034,-1619.3171,7.3370185
13.650034,-1576.3832,7.1058226
13.700034,-1531.3387,6.8779287
13.750034,-1484.1217,6.653737
13.8000345,-1434.3678,6.433231
13.850035,-1381.9144,6.216015
13.900035,-1328.17,6.001372
13.950035,-1276.132,5.7884417
14.000035,-1228.637,5.5763216
14.050035,-1187.0066,5.3641963
14.100036,-1151.0396,5.151379
14.150036,-1119.7117,4.9373393
14.200036,-1091.8505,4.7217064
14.250036,-1066.5184,4.5043097
14.300036,-1043.1396,4.285236
14.350037,-1021.4847,4.06492
14.400037,-1001.5875,3.8442144
14.450037,-983.63257,3.6244512
14.500037,-967.8379,3.407423
14.550037,-954.3495,3.1953645
14.600038,-943.17114,2.9908392
14.650038,-934.1395,2.796608
14.700038,-926.94025,2.6154857
14.750038,-921.15894,2.4501586
14.800038,-916.35034,2.3030357
14.850039,-912.11127,2.176105
14.900039,-908.13916,2.0708203
14.950039,-904.26984,1.9880188
15.000039,-900.485,1.9278905
15.050039,-896.8958,1.8899734
15.1000395,-893.70374,1.8732052
15.15004,-891.1513,1.875988
15.20004,-889.47186,1.8963253
15.25004,-888.8492,1.9319563
15.30004,-889.39355,1.9805373
15.35004,-891.13776,2.0398092
15.400041,-894.05286,2.1077816
15.450041,-898.07776,2.1828723
15.500041,-903.15216,2.264017
15.550041,-909.2472,2.3506908
15.600041,-916.3829,2.4428997
15.650042,-924.6315,2.5410843
15.700042,-934.1067,2.6460128
15.750042,-944.9448,2.7586374
15.800042,-957.2816,2.8799646
15.850042,-971.2324,3.0109217
15.900043,-986.8804,3.1522696
15.950043,-1004.2694,3.3045037
16.000042,-1023.4083,3.467771
16.050041,-1044.2737,3.6418371
16.10004,-1066.817,3.8260086
16.15004,-1090.9667,4.0191455
16.200039,-1116.6248,4.2196417
16.250038,-1143.6632,4.4255056
16.300037,-1171.9155,4.6344175
16.350037,-1201.1727,4.8438487
16.400036,-1231.1835,5.0511656
16.450035,-1261.6592,5.253762
16.500034,-1292.2812,5.4491363
16.550034,-1322.716,5.634976
16.600033,-1352.6241,5.8092294
16.650032,-1381.6724,5.97019
16.700031,-1409.5444,6.1166115
16.75003,-1435.9495,6.2478323
16.80003,-1460.6267,6.363892
16.850029,-1483.3536,6.465552
16.900028,-1503.9475,6.5542226
16.950027,-1522.2722,6.631773
17.000027,-1538.2482,6.700299
17.050026,-1551.8601,6.761882
17.100025,-1563.1663,6.81846
17.150024,-1572.3052,6.871751
17.200024,-1579.4937,6.9232664
17.250023,-1585.0232,6.9742527
17.300022,-1589.2372,7.0255036
17.350021,-1592.4846,7.076995
17.40002,-1595.0425,7.127413
17.45002,-1597.0339,7.1739793
17.50002,-1598.396,7.2128186
17.550018,-1598.9288,7.239831
17.600018,-1598.386,7.251546
17.650017,-1596.5522,7.245665
17.700016,-1593.2767,7.2212005
17.750015,-1588.4806,7.1783338
17.800014,-1582.1472,7.1181417
17.850014,-1574.3197,7.042299
17.900013,-1565.0999,6.9528127
17.950012,-1554.6448,6.8518143
18.000011,-1543.1562,6.7413926
18.05001,-1530.8564,6.623528
18.10001,-1517.9482,6.500032
18.15001,-1504.5688,6.3725348
18.200008,-1490.7449,6.2424984
18.250008,-1476.3667,6.1112146
18.300007,-1461.1924,5.979808
18.350006,-1444.9021,5.84925
18.400005,-1427.2104,5.720342
18.450005,-1408.0128,5.593732
18.500004,-1387.4773,5.469887
18.550003,-1366.0226,5.3491116
18.600002,-1344.2002,5.2315507
18.650002,-1322.5594,5.1172004
18.7,-1301.5571,5.005934
18.75,-1281.5225,4.8975244
18.8,-1262.6644,4.7916794
18.849998,-1245.0956,4.6880713
18.899998,-1228.8597,4.586381
18.949997,-1213.9517,4.486342
18.999996,-1200.3367,4.3877583
19.049995,-1187.9641,4.2905726
19.099995,-1176.7786,4.1948757
19.149994,-1166.7285,4.1009283
19.199993,-1157.769,4.009172
19.249992,-1149.8606,3.9202113
19.299992,-1142.9651,3.8347945
19.34999,-1137.0381,3.753756
19.39999,-1132.0232,3.677983
19.44999,-1127.8485,3.6083443
19.499989,-1124.4268,3.5456448
19.549988,-1121.6593,3.490571
19.599987,-1119.4434,3.443657
19.649986,-1117.6816,3.4052606
19.699986,-1116.2915,3.375544
19.749985,-1115.2126,3.3544867
19.799984,-1114.4126,3.3418913
19.849983,-1113.8875,3.3374047
19.899982,-1113.6608,3.3405602
19.949982,-1113.7761,3.3508089
19.99998,-1114.2919,3.3675337
20.04998,-1115.2706,3.390121
20.09998,-1116.7732,3.4179547
20.149979,-1118.8525,3.4504666
20.199978,-1121.5502,3.4871473
20.249977,-1124.8978,3.5275695
20.299976,-1128.9177,3.5713959
20.349976,-1133.6267,3.618373
20.399975,-1139.0386,3.6683557
20.449974,-1145.167,3.7212796
20.499973,-1152.0234,3.7771623
20.549973,-1159.6177,3.8360941
20.599972,-1167.9547,3.8982124
20.649971,-1177.0306,3.9636903
20.69997,-1186.8318,4.0327034
20.74997,-1197.3315,4.105415
20.799969,-1208.4916,4.181944
20.849968,-1220.262,4.262344
20.899967,-1232.5845,4.346581
20.949966,-1245.3949,4.4345098
20.999966,-1258.6267,4.525876
21.049965,-1272.2133,4.620285
21.099964,-1286.0894,4.717231
21.149963,-1300.1926,4.8160744
21.199963,-1314.4612,4.916083
