time,energy,error
0.05,997.6251,2.1135807E-4
0.1,995.24115,0.0015336275
0.15,992.78503,0.0042886734
0.2,990.2074,0.006978512
0.25,987.5844,0.008362055
0.3,984.95703,0.00887382
0.35000002,982.2811,0.009399772
0.40000004,979.50867,0.010231018
0.45000005,976.62115,0.011231303
0.50000006,973.61554,0.012235165
0.5500001,970.4891,0.01320219
0.6000001,967.2294,0.014176965
0.6500001,963.81396,0.015201926
0.7000001,960.224,0.01629591
0.7500001,956.4453,0.017445207
0.80000013,952.4546,0.018665195
0.85000014,948.2248,0.01996708
0.90000015,943.73,0.0213691
0.95000017,938.94995,0.022862673
1.0000001,933.84827,0.024472475
1.0500001,928.38635,0.026219368
1.1,922.52466,0.028105736
1.15,916.2165,0.030155778
1.1999999,909.4165,0.032377243
1.2499999,902.06415,0.034794092
1.2999998,894.07745,0.037433386
1.3499998,885.37915,0.040317297
1.3999997,875.87286,0.043466926
1.4499997,865.4392,0.046917617
1.4999996,853.9363,0.050702572
1.5499996,841.1858,0.05486417
1.5999995,826.9656,0.059451163
1.6499995,810.99225,0.064525545
1.6999995,792.897,0.07016075
1.7499994,772.1846,0.076449096
1.7999994,748.173,0.08349478
1.8499993,719.9266,0.091386735
1.8999993,686.3838,0.09997463
1.9499992,647.7433,0.108107686
1.9999992,608.3913,0.11284697
2.0499992,575.0437,0.11131263
2.0999992,550.53876,0.103664875
2.1499991,533.26636,0.09303981
2.199999,520.28864,0.08312559
2.249999,509.34753,0.076099396
2.299999,499.26025,0.07211709
2.349999,489.6527,0.07006025
2.399999,480.5658,0.06865919
2.4499989,472.1128,0.067171276
2.4999988,464.30017,0.065467596
2.5499988,457.01813,0.06376189
2.5999987,450.117,0.06228125
2.6499987,443.49744,0.061104894
2.6999986,437.11328,0.0601601
2.7499986,430.96667,0.05930388
2.7999985,425.0901,0.05839598
2.8499985,419.51465,0.05733633
2.8999984,414.27347,0.05606234
2.9499984,409.38806,0.054538608
2.9999983,404.87137,0.052737117
3.0499983,400.7367,0.05064237
3.0999982,396.9817,0.048255205
3.1499982,393.59402,0.04559797
3.1999981,390.5467,0.042721093
3.249998,387.79993,0.039693832
3.299998,385.305,0.03660494
3.349998,383.01215,0.033549607
3.399998,380.87112,0.030607522
3.449998,378.84082,0.027848423
3.4999979,376.88458,0.025321424
3.5499978,374.97662,0.023058772
3.5999978,373.09674,0.021072507
3.6499977,371.2325,0.019361734
3.6999977,369.37482,0.017914534
3.7499976,367.5188,0.016714454
3.7999976,365.66196,0.015737474
3.8499975,363.8029,0.014958203
3.8999975,361.9412,0.014354229
3.9499974,360.07678,0.0139017105
3.9999974,358.2088,0.013584495
4.0499973,356.33658,0.01338762
4.0999975,354.45816,0.013297319
4.1499977,352.5719,0.013306737
4.199998,350.67477,0.01340735
4.249998,348.76312,0.013593793
4.2999983,346.8331,0.013858438
4.3499985,344.87946,0.014198601
4.3999987,342.8966,0.014610946
4.449999,340.87775,0.015088677
4.499999,338.81573,0.015631557
4.549999,336.70364,0.016233444
4.5999994,334.533,0.016889513
4.6499996,332.29547,0.017596781
4.7,329.98285,0.018346667
4.75,327.58646,0.019138694
4.8,325.09695,0.01996851
4.8500004,322.5061,0.020836115
4.9000006,319.80533,0.021739602
4.950001,316.9854,0.022679746
5.000001,314.0351,0.023667097
5.050001,310.9431,0.024708986
5.1000013,307.69153,0.025821328
5.1500015,304.26425,0.027017295
5.2000017,300.63663,0.02831918
5.250002,296.77875,0.029751062
5.300002,292.65405,0.03134346
5.3500023,288.206,0.033126235
5.4000025,283.37012,0.03513658
5.4500027,278.05695,0.037421823
5.500003,272.14642,0.04003513
5.550003,265.47424,0.0430454
5.6000032,257.80908,0.046549797
5.6500034,248.8042,0.050676584
5.7000036,237.93726,0.05561304
5.750004,224.36163,0.061635017
5.800004,206.6936,0.06913108
5.850004,182.96051,0.07843006
5.9000044,152.3352,0.08875203
5.9500046,119.06775,0.09679568
6.000005,90.470825,0.09858966
6.050005,69.95978,0.09330815
6.100005,56.357788,0.08368492
6.1500053,46.943604,0.07366717
6.2000055,39.54547,0.06601155
6.2500057,33.00757,0.061402738
6.300006,26.939209,0.058958173
6.350006,21.338013,0.057350755
6.4000063,16.30542,0.05566585
6.4500065,11.852417,0.053661108
6.5000067,7.883606,0.051537633
6.550007,4.2574463,0.04958999
6.600007,0.8594971,0.047984004
6.6500072,-2.3721924,0.046708465
6.7000074,-5.461548,0.045665443
6.7500076,-8.41333,0.04475206
6.800008,-11.232422,0.043909848
6.850008,-13.934998,0.043123722
6.900008,-16.527283,0.042395055
6.9500084,-19.022125,0.041720986
7.0000086,-21.4234,0.041080415
7.050009,-23.732025,0.040432572
7.100009,-25.942657,0.039735317
7.150009,-28.049377,0.03894508
7.2000093,-30.04596,0.03802049
7.2500095,-31.931091,0.036936283
7.3000097,-33.701202,0.035687327
7.35001,-35.365906,0.03426838
7.40001,-36.934814,0.03271711
7.4500103,-38.424957,0.031073034
7.5000105,-39.853622,0.029382765
7.5500107,-41.240242,0.02770394
7.600011,-42.602463,0.026091576
7.650011,-43.953552,0.024595857
7.7000113,-45.304306,0.023252368
7.7500114,-46.662067,0.022087872
7.8000116,-48.030266,0.02111262
7.850012,-49.410873,0.020327687
7.900012,-50.803616,0.019732118
7.950012,-52.20768,0.019320428
8.000012,-53.62243,0.019078195
8.050013,-55.04711,0.018998563
8.100013,-56.481598,0.019074619
8.150013,-57.92691,0.019290566
8.200013,-59.384567,0.019646406
8.250013,-60.857132,0.020131111
8.300014,-62.34813,0.02073872
8.350014,-63.862656,0.021460533
8.400014,-65.40601,0.02229029
8.450014,-66.98572,0.023216248
8.500014,-68.60649,0.024233699
8.5500145,-70.27672,0.025324702
8.600015,-72.004074,0.026478231
8.650015,-73.796036,0.027677476
8.700015,-75.65906,0.028907657
8.750015,-77.59604,0.030154765
8.800015,-79.612366,0.031395674
8.850016,-81.709076,0.0326221
8.900016,-83.89203,0.03381902
8.950016,-86.16278,0.03497958
9.000016,-88.51605,0.036100447
9.050016,-90.95981,0.037185013
9.100017,-93.48984,0.03824377
9.150017,-96.114136,0.03928995
9.200017,-98.83551,0.04034561
9.250017,-101.66626,0.041429996
9.300017,-104.6167,0.042571485
9.350018,-107.706055,0.04379338
9.400018,-110.95648,0.045126855
9.450018,-114.39984,0.046601772
9.500018,-118.07587,0.04825294
9.550018,-122.03528,0.05011034
9.6000185,-126.35272,0.052215755
9.650019,-131.12091,0.054602027
9.700019,-136.46747,0.057305336
9.750019,-142.53943,0.060317636
9.800019,-149.46497,0.06352365
9.850019,-157.20251,0.06660056
9.90002,-165.38458,0.06896007
9.95002,-173.36133,0.06996238
10.00002,-180.52368,0.06928241
10.05002,-186.60321,0.06715047
10.10002,-191.67487,0.06419265
10.150021,-195.98224,0.061098754
10.200021,-199.76892,0.05832982
10.250021,-203.1969,0.0560385
10.300021,-206.34552,0.054123282
10.350021,-209.242,0.052412868
10.400022,-211.89929,0.0507679
10.450022,-214.33453,0.04913801
10.500022,-216.57507,0.04752493
10.550022,-218.6495,0.04597342
