time,energy,error
0.049999993,999.7611,9.441376E-5
0.10000001,999.5153,0.0013616085
0.14999999,999.20984,0.005927801
0.19999994,998.6955,0.014142752
0.2499999,998.06635,0.021103382
0.29999986,997.75037,0.02116704
0.34999982,997.6463,0.017031312
0.39999977,997.3978,0.01593864
0.44999972,996.85876,0.020289183
0.49999967,996.1077,0.026391983
0.54999965,995.4455,0.029694915
0.5999996,995.0479,0.029384732
0.64999956,994.71985,0.028338194
0.6999995,994.1376,0.030164003
0.74999946,993.2433,0.03493309
0.7999994,992.2799,0.039265633
0.84999937,991.466,0.04119754
0.8999993,990.7606,0.0419569
0.9499993,989.9087,0.043741465
0.9999992,988.77966,0.04740739
1.0499992,987.4782,0.051597
1.0999992,986.1816,0.054846883
1.1499991,984.95905,0.057375073
1.1999991,983.5663,0.06031394
1.249999,981.91205,0.064302444
1.299999,979.9676,0.068995714
1.349999,977.85645,0.073672414
1.3999989,975.6177,0.07813585
1.4499989,973.1607,0.08273792
1.4999988,970.39355,0.08795059
1.5499988,967.1602,0.094062686
1.5999987,963.3428,0.101000905
1.6499987,958.9417,0.108623385
1.6999986,953.834,0.116952896
1.7499986,947.7707,0.12627977
1.7999985,940.28467,0.13721752
1.8499985,930.62164,0.15063858
1.8999984,917.3026,0.16799843
1.9499984,896.7241,0.19248736
1.9999983,860.9684,0.22897512
2.0499995,834.5538,0.24097943
2.1000006,839.89575,0.21104062
2.1500018,866.55585,0.14873922
2.200003,885.35016,0.07005733
2.250004,889.1155,0.03600496
2.3000052,885.50635,0.05837047
2.3500063,869.9631,0.11494422
2.4000075,849.0908,0.16105121
2.4500086,847.79724,0.15532923
2.5000098,864.2386,0.10599673
2.550011,875.22705,0.050945044
2.600012,876.87616,0.033233166
2.6500132,872.2765,0.063556075
2.7000144,858.4966,0.1130836
2.7500155,846.1571,0.14151251
2.8000166,848.90125,0.12875098
2.8500178,859.3853,0.08919406
2.900019,865.36694,0.055283904
2.95002,865.60443,0.050489128
3.0000212,860.8954,0.07390642
3.0500224,852.2901,0.1039353
3.1000235,846.87494,0.11657846
3.1500247,849.63934,0.10280681
3.2000258,855.9896,0.07230246
3.250027,859.98785,0.04380846
3.300028,860.9514,0.031460643
3.3500292,860.0967,0.036857724
3.4000304,858.1067,0.049562573
3.4500315,856.8478,0.054593086
3.5000327,857.86066,0.04373324
3.5500338,859.5487,0.021196842
3.600035,859.9139,7.8362226E-4
3.650036,859.60455,0.007985413
3.7000372,859.421,0.0031599998
3.7500384,858.39355,0.022851467
3.8000395,857.7892,0.027123451
3.8500407,858.2549,0.011702776
3.9000418,858.2008,0.002004981
3.950043,857.9595,0.0018895864
4.000044,857.31476,0.016186655
4.050045,856.9029,0.018695414
4.100046,856.9756,0.008138061
4.1500473,856.7856,0.005170822
4.2000484,856.2705,0.01424551
4.2500496,855.8148,0.017650723
4.3000507,855.74347,0.011418104
4.350052,855.4397,0.011628807
4.400053,854.7046,0.020442247
4.450054,854.1502,0.022845864
4.5000553,854.0975,0.016955972
4.5500565,853.7232,0.01735735
4.6000576,852.84204,0.025130272
4.6500587,852.2258,0.026958227
4.70006,851.99,0.023722708
4.750061,851.33264,0.026547909
4.800062,850.32043,0.03230387
4.8500633,849.49963,0.034285486
4.9000645,848.6194,0.03648913
4.9500656,847.4877,0.04032874
5.0000668,846.1364,0.044472694
5.050068,844.47864,0.049661458
5.100069,842.9723,0.05267608
5.15007,841.5767,0.0542292
5.2000713,840.0231,0.056586742
5.2500725,838.3768,0.05882728
5.3000736,836.53265,0.06181538
5.350075,834.60693,0.06460035
5.400076,832.5106,0.0675143
5.450077,830.3353,0.0700444
5.500078,828.1312,0.07196528
5.5500793,826.0298,0.0731228
5.6000805,824.02527,0.07375431
5.6500816,821.89764,0.074858546
5.700083,819.33093,0.07741213
5.750084,815.9215,0.082422376
5.800085,811.3971,0.08951712
5.850086,805.3108,0.0987128
5.9000874,796.49347,0.110317945
5.9500885,781.97534,0.1267469
6.0000896,756.7327,0.14678144
6.050091,694.39526,0.18688917
6.100092,561.8573,0.2492913
6.150093,433.2365,0.30756778
6.200094,418.97015,0.25452352
6.2500954,481.4756,0.17501557
6.3000965,510.0421,0.02375257
6.3500977,504.0047,0.06105846
6.400099,505.48938,0.03151065
6.4501,490.24915,0.08961427
6.500101,444.49048,0.19305634
6.550102,436.28253,0.19215226
6.6001034,470.77948,0.115455866
6.6501045,486.99976,0.016433954
6.7001057,485.6175,0.02401942
6.750107,484.5265,0.032109678
6.800108,464.10974,0.11754328
