time,energy,error
0.050000012,999.8727,5.340576E-5
0.10000011,999.5323,1.1539459E-4
0.14999984,998.96967,9.787083E-5
0.1999992,998.17957,1.9180775E-4
0.24999855,997.2627,1.2266636E-4
0.29999793,996.18524,1.3756752E-4
0.34999728,994.85596,1.885891E-4
0.39999664,993.2041,1.8763542E-4
0.449996,991.2947,2.1791458E-4
0.49999535,989.06354,2.1970272E-4
0.5499977,986.931,2.3293495E-4
0.6,984.7605,2.6881695E-4
0.65000236,982.4325,2.964735E-4
0.7000047,980.18066,3.0946732E-4
0.75000703,977.84454,3.2520294E-4
0.80000937,976.6906,3.6156178E-4
0.8500117,983.70337,3.838539E-4
0.90001404,991.7716,4.2581558E-4
0.9500164,1000.3418,4.671812E-4
1.0000187,1009.4508,5.1534176E-4
1.0500151,1019.1041,5.403757E-4
1.1000115,1028.8109,5.772114E-4
1.1500078,1040.5674,5.723238E-4
1.2000042,1055.1237,6.312132E-4
1.2500006,1065.0172,7.122755E-4
1.299997,1072.361,7.556677E-4
1.3499933,1081.3201,8.164644E-4
1.3999897,1091.6238,8.710623E-4
1.4499861,1102.2572,9.189844E-4
1.4999825,1106.012,9.839535E-4
1.5499789,1097.7083,0.0010223389
1.5999752,1088.607,0.0010720491
1.6499716,1078.585,0.0011402369
1.699968,1069.2415,0.0011925697
1.7499644,1059.834,0.0013176203
1.7999607,1051.6628,0.0014150143
1.8499571,1044.4309,0.0015820265
1.8999535,1038.2302,0.0018411875
1.9499499,1032.7065,0.0022928715
1.9999462,1027.4578,0.0024855137
2.0499427,1027.457,0.0014638901
2.099939,1029.5482,0.0014041662
2.1499355,1033.3269,0.0012554526
2.1999319,1037.5366,0.0011412501
2.2499282,1042.6357,0.0011224747
2.2999246,1048.447,0.0010397434
2.349921,1054.9451,0.0010489225
2.3999174,1061.3827,9.874105E-4
2.4499137,1069.0516,0.001001358
2.49991,1076.5898,9.698868E-4
2.5499065,1082.5564,9.847283E-4
2.5999029,1088.312,9.887815E-4
2.6498992,1090.5186,9.860992E-4
2.6998956,1085.6333,9.510517E-4
2.749892,1076.8486,9.4538927E-4
2.7998884,1067.4232,9.319186E-4
2.8498847,1057.8129,9.382963E-4
2.8998811,1047.8586,9.394884E-4
2.9498775,1038.0048,9.0414286E-4
2.9998739,1028.1732,8.9013577E-4
3.0498703,1018.4197,8.704066E-4
3.0998666,1009.3951,8.363724E-4
3.149863,1001.1969,8.187294E-4
3.1998594,994.49866,7.4368715E-4
3.2498558,989.7446,6.778836E-4
