time,energy,error
0.050000012,999.8726,4.5776367E-5
0.10000011,999.3391,7.3075294E-5
0.14999984,997.9564,7.8082085E-5
0.1999992,994.90985,2.7894974E-5
0.24999855,990.14655,9.3221664E-5
0.29999793,985.13556,1.5377998E-4
0.34999728,978.83704,6.198883E-5
0.39999664,962.16785,5.710125E-5
0.449996,954.8467,5.6266785E-5
0.49999535,934.2038,7.200241E-5
0.5499977,915.36176,3.6478043E-5
0.6,911.4938,2.6464462E-5
0.65000236,909.44904,2.0563602E-5
0.7000047,907.2266,2.1338463E-5
0.75000703,903.7745,2.1159649E-5
0.80000937,895.8102,1.9788742E-5
0.8500117,894.9794,2.0503998E-5
0.90001404,898.1422,1.7881393E-5
0.9500164,884.9214,2.014637E-5
1.0000187,881.64,2.092123E-5
1.0500151,890.60767,2.4318695E-5
1.1000115,899.6283,2.6404858E-5
1.1500078,906.1786,2.2292137E-5
1.2000042,913.0495,2.5093555E-5
1.2500006,913.56714,2.2232533E-5
1.299997,882.5561,2.0086765E-5
1.3499933,856.6089,1.859665E-5
1.3999897,844.874,1.5497208E-5
1.4499861,831.4379,1.9669533E-5
1.4999825,815.26245,1.2814999E-5
1.5499789,805.13635,1.680851E-5
1.5999752,811.913,3.2305717E-5
1.6499716,825.3889,3.4868717E-5
1.699968,824.3471,3.0755997E-5
1.7499644,831.8404,1.603365E-5
1.7999607,909.6653,1.4662743E-5
1.8499571,1023.05176,1.6391277E-5
1.8999535,1162.0802,2.259016E-5
1.9499499,1221.5333,2.3722649E-5
1.9999462,1236.9639,2.5987625E-5
2.0499427,1236.8939,2.8550625E-5
2.099939,1254.3696,2.2292137E-5
2.1499355,1231.5641,2.2768974E-5
2.1999319,1199.04,2.2411346E-5
2.2499282,1197.602,2.002716E-5
2.2999246,1195.4141,2.4676323E-5
2.349921,1177.7783,1.9311905E-5
2.3999174,1151.4065,2.4318695E-5
2.4499137,1136.581,1.3947487E-5
2.49991,1102.6385,1.2814999E-5
2.5499065,1059.492,2.2649765E-5
2.5999029,1016.1327,1.7285347E-5
2.6498992,975.90674,1.4066696E-5
2.6998956,896.7613,2.3066998E-5
2.749892,793.79767,2.1219254E-5
2.7998884,682.67267,1.41859055E-5
2.8498847,551.4745,1.8417835E-5
2.8998811,467.5771,1.2874603E-5
2.9498775,433.75125,1.2636185E-5
2.9998739,450.67053,1.21593475E-5
3.0498703,460.61935,1.3113022E-5
3.0998666,457.8797,1.3828278E-5
3.149863,465.92166,1.5377998E-5
3.1998594,475.43994,1.3113022E-5
3.2498558,480.1709,1.3411045E-5
3.2998521,477.38538,1.513958E-5
3.3498485,479.22595,1.7166138E-5
3.399845,477.94595,1.6570091E-5
